rand_ranks,Line,height(in),NumTasselBranches,TasselBranchAngle(deg),,,,
424,Mo027,51,2,18,,,,
425,Mo074,41,.,.,,,,
426,Mo337,20,.,.,,,,
427,Mo383,.,.,.,,,,
428,Mo010,67,3,6,,,,
429,Mo025,61,3,8,,,,
430,Mo021,74,2,14,,,,
431,Mo267,58,6,17,,,,
432,Mo043,38,4,19,,,,
433,Mo062,70,5,11,,,,
434,Mo352,57,.,.,,,,
435,B73,59,5,20,,,,
436,Mo379,51,3,38,,,,
437,Mo007,60,.,.,,,,
438,Mo264,53,1,35,,,,
439,Mo027,47,1,6,,,,
440,Mo014,53,1,11,,,,
441,Mo077,63,1,6,,,,
442,Mo325,80,4,40,,,,
443,Mo382,66,3,15,,,,
444,Mo016,51,4,4,,,,
445,Mo046,57,4,17,,,,
446,Mo269,67,3,10,,,,
447,Mo027,65,2,3,,,,
448,Mo266,60,5,19,,,,
449,Mo267,63,6,23,,,,
450,Mo014,49,1,6,,,,
451,Mo055,56,4,16,,,,
452,Mo014,27,.,.,,,,
453,Mo264,.,.,.,,,,
454,Mo008,43,2,3,,,,
455,Mo001,.,.,.,,,,
456,Mo357,.,.,.,,,,
457,Mo346,49,4,13,,,,
458,Mo269,63,2,14,,,,
459,Mo287,64,5,20,,,,
460,Mo325,.,.,.,,,,
461,Mo014,42,2,3,,,,
462,B73,58,5,12,,,,
463,Mo369,61,6,10,,,,
464,Mo337,69,5,7,,,,
465,Mo034,62,6,15,,,,
466,Mo352,65,4,5,,,,
467,Mo016,55,4,11,,,,
468,Mo014,46,3,3,,,,
469,Mo341,61,2,18,,,,
470,Mo369,46,4,12,,,,
471,Mo337,74,4,10,,,,
472,Mo369,52,4,30,,,,
473,Mo17,65,4,14,,,,
474,Mo054,41,2,20,,,,
475,Mo046,56,3,5,,,,
476,Mo005,39,4,9,,,,
477,Mo341,47,.,.,,,,
478,Mo039,34,4,4,,,,
479,Mo368,52,3,9,,,,
480,Mo062,55,2,9,,,,
481,Mo057,42,4,12,,,,
482,Mo061,62,3,9,,,,
483,Mo057,44,5,12,,,,
484,Mo266,54,3,13,,,,
485,Mo264,53,3,20,,,,
486,B73,49,5,6,,,,
487,Mo008,53,4,11,,,,
488,Mo022,46,7,4,,,,
489,Mo079,48,.,.,,,,
490,Mo272,63,5,10,,,,
491,Mo267,34,2,26,,,,
492,Mo058,66,3,8,,,,
493,Mo016,57,3,7,,,,
494,Mo058,67,.,.,,,,
495,Mo076,.,.,.,,,,
496,Mo005,42,5,7,,,,
497,Mo267,.,.,.,,,,
498,Mo077,60,3,2,,,,
499,Mo352,43,2,7,,,,
500,Mo337,50,2,14,,,,
501,Mo383,51,3,27,,,,
502,Mo015,46,3,26,,,,
503,Mo023,47,3,41,,,,
504,Mo061,65,4,22,,,,
505,Mo034,60,5,8,,,,
506,Mo016,51,.,.,,,,
507,Mo076,74,5,42,,,,
508,Mo265,60,4,6,,,,
509,Mo346,51,2,7,,,,
510,Mo345,58,3,49,,,,
511,Mo046,59,4,16,,,,
512,Mo025,38,4,21,,,,
513,Mo001,37,5,12,,,,
514,Mo354,56,5,11,,,,
515,Mo346,.,.,.,,,,
516,Mo027,.,.,.,,,,
517,Mo341,56,.,.,,,,
518,Mo382,55,3,11,,,,
519,Mo317,52,3,17,,,,
520,Mo354,55,4,16,,,,
521,Mo017,66,3,26,,,,
522,Mo365,72,7,21,,,,
523,Mo054,78,4,19,,,,
524,Mo325,36,0,0,,,,
525,Mo379,53,4,19,,,,
526,Mo309,68,2,7,,,,
527,Mo017,67,3,9,,,,
528,Mo337,27,.,.,,,,
529,Mo010,76,.,.,,,,
530,Mo266,61,10,20,,,,
531,Mo379,24,.,.,,,,
532,Mo309,66,4,4,,,,
533,Mo341,62,2,5,,,,
534,Mo325,60,4,10,,,,
535,Mo045,63,4,21,,,,
536,Mo021,66,2,25,,,,
537,Mo076,69,4,14,,,,
538,Mo074,63,4,8,,,,
539,Mo315,42,4,22,,,,
540,Mo039,68,4,9,,,,
541,Mo034,63,8,12,,,,
542,Mo007,47,2,3,,,,
543,Mo344,17,.,.,,,,
544,Mo074,65,4,18,,,,
545,Mo345,55,2,21,,,,
546,Mo337,76,3,22,,,,
547,Mo039,53,3,16,,,,
548,Mo033,51,5,13,,,,
549,Mo061,70,4,7,,,,
550,Mo058,66,3,6,,,,
551,Mo076,58,4,7,,,,
552,Mo066,29,2,16,,,,
553,Mo017,15,.,.,,,,
554,Mo265,76,6,20,,,,
555,Mo17,69,3,27,,,,
556,Mo079,40,4,8,,,,
557,Mo379,46,4,21,,,,
558,Mo008,55,3,10,,,,
559,Mo309,68,3,17,,,,
560,Mo077,75,3,29,,,,
561,Mo074,66,5,7,,,,
562,Mo17,64,2,10,,,,
563,Mo309,69,3,4,,,,
564,Mo315,71,5,9,,,,
565,Mo076,74,4,8,,,,
566,Mo061,74,5,11,,,,
567,Mo341,74,2,4,,,,
568,Mo046,74,4,14,,,,
569,Mo076,58,4,23,,,,
570,Mo021,73,4,11,,,,
571,Mo317,71,3,42,,,,
572,Mo341,63,3,8,,,,
573,Mo265,68,6,10,,,,
574,Mo269,64,4,10,,,,
575,Mo269,67,4,8,,,,
576,Mo341,74,3,6,,,,
577,Mo317,38,2,25,,,,
578,Mo039,75,4,6,,,,
579,Mo014,67,2,32,,,,
580,Mo325,71,4,7,,,,
581,Mo309,54,3,6,,,,
582,Mo317,76,5,16,,,,
583,Mo287,84,7,18,,,,
584,Mo039,49,3,14,,,,
585,Mo057,31,3,21,,,,
586,Mo066,36,4,2,,,,
587,Mo266,73,8,27,,,,
588,Mo364,73,.,.,,,,
589,Mo001,.,.,.,,,,
590,Mo022,72,5,8,,,,
591,Mo264,59,4,37,,,,
592,Mo046,59,3,26,,,,
593,Mo364,62,5,10,,,,
594,Mo337,95,6,26,,,,
595,Mo033,51,5,8,,,,
596,Mo007,64,3,8,,,,
597,Mo008,58,5,6,,,,
598,Mo022,59,5,10,,,,
599,Mo008,54,2,4,,,,
600,Mo383,64,5,28,,,,
601,Mo001,44,4,6,,,,
602,Mo326,77,7,15,,,,
603,Mo368,64,3,15,,,,
604,Mo057,35,.,.,,,,
605,Mo012,55,2,11,,,,
606,Mo046,74,4,23,,,,
607,Mo062,75,5,7,,,,
608,Mo317,60,4,21,,,,
609,Mo022,41,5,5,,,,
610,Mo265,58,4,21,,,,
611,B73,52,4,12,,,,
612,Mo265,74,4,19,,,,
613,Mo352,56,3,10,,,,
614,Mo045,66,5,19,,,,
615,Mo045,70,4,12,,,,
616,Mo382,47,4,6,,,,
617,Mo012,44,3,7,,,,
618,Mo016,56,3,5,,,,
619,Mo309,74,2,5,,,,
620,Mo066,.,.,.,,,,
621,Mo079,70,6,12,,,,
622,Mo265,69,6,14,,,,
623,Mo266,77,.,.,,,,
624,Mo315,71,4,11,,,,
625,B73,61,6,8,,,,
626,Mo043,47,4,7,,,,
627,Mo365,83,7,29,,,,
628,Mo008,62,4,14,,,,
629,Mo007,65,3,14,,,,
630,Mo382,63,2,16,,,,
631,Mo326,74,5,31,,,,
632,Mo007,62,2,5,,,,
633,Mo364,75,5,10,,,,
634,Mo043,42,2,10,,,,
635,Mo043,47,5,22,,,,
636,Mo076,73,5,21,,,,
637,Mo265,79,6,8,,,,
638,Mo007,71,1,7,,,,
639,Mo378,76,5,10,,,,
640,Mo025,40,5,3,,,,
641,Mo369,64,6,9,,,,
642,Mo015,67,2,7,,,,
643,Mo055,66,3,10,,,,
644,Mo043,33,3,34,,,,
645,Mo039,39,.,.,,,,
646,Mo369,64,6,11,,,,
647,Mo062,41,5,20,,,,
648,Mo067,56,3,19,,,,
649,Mo034,74,7,19,,,,
650,Mo055,72,.,.,,,,
651,Mo012,30,1,4,,,,
652,Mo267,60,7,30,,,,
653,Mo066,.,.,.,,,,
654,Mo357,.,.,.,,,,
655,Mo272,67,7,12,,,,
656,Mo354,70,5,19,,,,
657,Mo012,65,4,5,,,,
658,Mo008,79,4,10,,,,
659,Mo369,66,10,11,,,,
660,Mo074,69,6,8,,,,
661,Mo074,30,.,.,,,,
662,Mo005,93,5,15,,,,
663,Mo067,.,.,.,,,,
664,Mo027,.,.,.,,,,
665,Mo337,94,5,8,,,,
666,Mo077,51,2,5,,,,
667,Mo267,55,7,11,,,,
668,Mo264,56,1,65,,,,
669,Mo008,35,.,.,,,,
670,Mo383,53,.,.,,,,
671,Mo060,71,8,14,,,,
672,Mo272,77,9,8,,,,
673,Mo060,78,9,8,,,,
674,Mo060,74,7,10,,,,
675,Mo046,86,4,13,,,,
676,Mo265,80,6,22,,,,
677,B73,86,.,.,,,,
678,Mo267,.,.,.,,,,
679,Mo054,82,4,15,,,,
680,Mo005,71,5,8,,,,
681,Mo012,66,3,9,,,,
682,Mo364,.,.,.,,,,
683,Mo379,58,3,10,,,,
684,Mo076,69,5,12,,,,
685,Mo272,55,6,13,,,,
686,Mo017,81,3,11,,,,
687,Mo341,75,.,.,,,,
688,Mo055,70,7,6,,,,
689,Mo054,71,4,33,,,,
690,Mo033,73,5,15,,,,
691,Mo345,67,3,12,,,,
692,Mo054,82,4,13,,,,
693,Mo368,83,10,11,,,,
694,Mo383,68,3,4,,,,
695,Mo074,56,5,7,,,,
696,Mo025,24,.,.,,,,
697,Mo369,61,5,6,,,,
698,Mo337,90,6,47,,,,
699,Mo315,72,4,13,,,,
700,Mo344,42,6,14,,,,
701,Mo352,63,4,10,,,,
702,Mo266,81,10,29,,,,
703,Mo055,27,.,.,,,,
704,Mo17,69,4,37,,,,
705,Mo067,.,.,.,,,,
706,Mo315,77,5,5,,,,
707,Mo055,61,4,13,,,,
708,B73,.,.,.,,,,
709,Mo023,25,3,14,,,,
710,Mo023,53,3,34,,,,
711,Mo034,70,6,11,,,,
712,Mo034,69,7,12,,,,
713,Mo057,81,3,16,,,,
714,Mo017,80,8,7,,,,
715,Mo005,80,8,7,,,,
716,Mo061,72,4,5,,,,
717,Mo058,70,3,10,,,,
718,Mo027,.,.,.,,,,
719,Mo345,58,5,10,,,,
720,Mo352,36,2,26,,,,
721,Mo010,64,4,27,,,,
722,Mo326,69,8,17,,,,
723,Mo346,61,4,10,,,,
724,Mo046,75,4,20,,,,
725,Mo055,63,3,6,,,,
726,Mo317,61,6,33,,,,
727,Mo027,58,2,6,,,,
728,Mo269,42,4,9,,,,
729,Mo039,57,4,11,,,,
730,Mo345,59,5,15,,,,
731,Mo066,35,6,6,,,,
732,Mo057,46,4,26,,,,
733,Mo17,71,5,32,,,,
734,Mo287,75,5,30,,,,
735,Mo066,.,.,.,,,,
736,Mo357,43,3,33,,,,
737,Mo015,66,5,18,,,,
738,Mo326,55,5,28,,,,
739,Mo001,33,.,.,,,,
740,Mo076,.,.,.,,,,
741,Mo309,67,2,4,,,,
742,Mo021,74,1,17,,,,
743,Mo077,74,2,4,,,,
744,Mo022,46,4,16,,,,
745,Mo368,76,6,4,,,,
746,Mo079,57,5,20,,,,
747,Mo012,57,3,6,,,,
748,Mo325,37,7,15,,,,
749,Mo382,55,3,16,,,,
750,Mo054,78,5,6,,,,
751,Mo309,73,2,5,,,,
752,Mo365,79,6,21,,,,
753,Mo067,66,6,15,,,,
754,Mo265,49,4,3,,,,
755,Mo067,65,3,17,,,,
756,Mo346,64,5,17,,,,
757,Mo368,60,7,6,,,,
758,Mo346,76,6,6,,,,
759,Mo043,61,5,8,,,,
760,Mo060,71,4,8,,,,
761,Mo054,72,3,20,,,,
762,Mo046,62,5,26,,,,
763,Mo016,56,4,10,,,,
764,Mo016,58,3,5,,,,
765,Mo046,57,4,8,,,,
766,Mo016,58,3,8,,,,
767,Mo033,.,.,.,,,,
768,Mo325,67,5,30,,,,
769,Mo341,70,2,22,,,,
770,Mo346,69,4,8,,,,
771,Mo012,62,4,20,,,,
772,Mo379,53,3,13,,,,
773,Mo010,83,.,.,,,,
774,Mo357,.,.,.,,,,
775,Mo267,.,.,.,,,,
776,Mo344,42,7,5,,,,
777,Mo010,73,4,3,,,,
778,Mo326,70,5,7,,,,
779,Mo066,55,7,21,,,,
780,Mo326,71,5,30,,,,
781,Mo062,67,3,9,,,,
782,Mo012,56,3,7,,,,
783,Mo264,58,4,18,,,,
784,Mo378,.,.,.,,,,
785,Mo033,69,7,8,,,,
786,Mo016,66,3,3,,,,
787,Mo025,65,6,8,,,,
788,Mo014,60,3,32,,,,
789,Mo055,67,3,20,,,,
790,Mo055,66,3,11,,,,
791,Mo007,67,.,.,,,,
792,Mo008,61,4,8,,,,
793,Mo021,72,3,38,,,,
794,Mo378,84,5,42,,,,
795,Mo033,60,4,6,,,,
796,Mo010,69,0,0,,,,
797,Mo021,75,3,28,,,,
798,Mo061,60,3,27,,,,
799,Mo039,70,4,6,,,,
800,Mo345,68,3,14,,,,
801,Mo022,51,5,16,,,,
802,Mo17,72,2,46,,,,
803,Mo015,69,5,6,,,,
804,Mo025,58,4,7,,,,
805,Mo354,58,5,12,,,,
806,Mo287,72,5,6,,,,
807,Mo055,62,4,8,,,,
808,Mo061,74,5,10,,,,
809,Mo267,64,7,15,,,,
810,Mo001,55,4,6,,,,
811,Mo382,60,3,3,,,,
812,Mo012,59,4,10,,,,
813,Mo067,74,6,18,,,,
814,Mo027,.,.,.,,,,
815,Mo043,52,4,18,,,,
816,Mo062,68,4,20,,,,
817,Mo379,51,5,30,,,,
