Year2006,Family Number,Line,PlantHeight(in),tasselbranchNum,tasselbranchAngle_degrees
P,37,Mo058,60,2,5
P,37,Mo058,63,1,3
P,37,Mo058,31,1,3
P,37,Mo058,55,4,3
P,37,Mo058,25,.,.
P,37,Mo058,63,.,.
P,38,Mo060,64,6,10
P,38,Mo060,65,6,12
P,38,Mo060,62,5,10
P,38,Mo060,67,6,10
P,38,Mo060,73,5,12
P,38,Mo060,69,5,12
P,38,Mo060,59,5,15
P,38,Mo060,65,7,15
P,38,Mo060,59,6,12
P,38,Mo060,58,6,10
P,38,Mo060,60,6,12
P,38,Mo060,71,.,.
P,38,Mo060,70,.,.
P,39,Mo061,72,.,.
P,39,Mo061,39,.,.
P,39,Mo061,63,.,.
P,39,Mo061,67,.,.
P,39,Mo061,68,.,.
P,39,Mo061,69,.,.
P,39,Mo061,67,.,.
P,39,Mo061,70,.,.
P,39,Mo061,62,.,.
P,39,Mo061,63,.,.
P,39,Mo061,65,.,.
P,39,Mo061,65,.,.
P,40,Mo062,68,3,17
P,40,Mo062,67,5,10
P,40,Mo062,67,2,10
P,40,Mo062,66,4,15
P,40,Mo062,67,3,10
P,40,Mo062,69,4,20
P,40,Mo062,72,3,5
P,40,Mo062,71,3,12
P,40,Mo062,72,3,10
P,40,Mo062,68,4,10
P,40,Mo062,65,4,5
P,40,Mo062,73,3,12
P,40,Mo062,69,.,.
P,40,Mo062,38,.,.
P,40,Mo062,68,.,.
P,40,Mo062,69,.,.
P,40,Mo062,90,.,.
P,41,Mo063,55,4,5
P,41,Mo063,61,3,5
P,41,Mo063,55,3,3
P,41,Mo063,55,3,3
P,41,Mo063,61,2,5
P,41,Mo063,53,1,2
P,41,Mo063,61,5,5
P,41,Mo063,48,3,3
P,41,Mo063,41,2,5
P,41,Mo063,49,2,5
P,42,Mo066,26,6,15
P,42,Mo066,32,2,5
P,42,Mo066,32,4,10
P,42,Mo066,33,6,20
P,42,Mo066,24,6,5
P,42,Mo066,29,3,10
P,42,Mo066,45,4,5
P,42,Mo066,41,.,.
P,42,Mo066,35,.,.
P,42,Mo066,44,.,.
P,42,Mo066,27,.,.
P,42,Mo066,35,.,.
P,43,Mo067,70,7,20
P,43,Mo067,67,8,15
P,43,Mo067,74,7,25
P,43,Mo067,66,6,10
P,43,Mo067,64,4,15
P,43,Mo067,71,7,17
P,43,Mo067,21,5,15
P,43,Mo067,72,4,15
P,43,Mo067,75,7,20
P,43,Mo067,68,.,.
P,43,Mo067,72,.,.
P,44,Mo074,56,.,.
P,44,Mo074,33,.,.
P,44,Mo074,67,.,.
P,44,Mo074,70,.,.
P,44,Mo074,72,.,.
P,44,Mo074,63,.,.
P,44,Mo074,61,.,.
P,44,Mo074,68,.,.
P,44,Mo074,66,.,.
P,44,Mo074,64,.,.
P,44,Mo074,66,.,.
P,44,Mo074,67,.,.
P,44,Mo074,19,.,.
P,44,Mo074,66,.,.
P,45,Mo075,67,2,5
P,45,Mo075,71,2,5
P,45,Mo075,66,1,5
P,45,Mo075,65,1,5
P,45,Mo075,76,1,5
P,45,Mo075,80,2,5
P,45,Mo075,73,3,10
P,45,Mo075,73,2,5
P,45,Mo075,69,2,5
P,45,Mo075,72,2,5
P,45,Mo075,67,.,.
P,45,Mo075,71,.,.
P,46,Mo076,68,3,15
P,46,Mo076,62,5,10
P,46,Mo076,73,3,10
P,46,Mo076,39,4,7
P,48,Mo079,54,6,12
P,48,Mo079,58,6,25
P,48,Mo079,46,7,20
P,48,Mo079,63,8,20
P,48,Mo079,62,9,20
P,48,Mo079,59,3,20
P,48,Mo079,42,5,10
P,48,Mo079,70,8,20
P,48,Mo079,61,9,15
P,48,Mo079,75,4,7
P,48,Mo079,58,7,12
P,48,Mo079,34,7,20
P,48,Mo079,64,7,10
P,48,Mo079,59,6,20
P,49,Mo262,68,2,15
P,49,Mo262,47,3,20
P,49,Mo262,69,3,13
P,49,Mo262,69,3,20
P,49,Mo262,66,4,15
P,49,Mo262,70,3,20
P,49,Mo262,71,2,22
P,49,Mo262,68,3,5
P,49,Mo262,75,4,15
P,49,Mo262,72,4,10
P,49,Mo262,62,3,5
P,49,Mo262,73,4,8
P,50,Mo264,53,2,20
P,50,Mo264,53,3,20
P,50,Mo264,36,3,15
P,50,Mo264,55,1,25
P,50,Mo264,63,5,15
P,50,Mo264,60,3,15
P,50,Mo264,54,3,12
P,50,Mo264,25,2,15
P,50,Mo264,24,.,.
P,50,Mo264,58,.,.
P,51,Mo265,51,7,5
P,51,Mo265,63,6,5
P,51,Mo265,79,8,5
P,51,Mo265,74,5,10
P,51,Mo265,77,4,5
P,51,Mo265,69,5,10
P,51,Mo265,67,6,13
P,51,Mo265,75,5,5
P,51,Mo265,63,7,8
P,51,Mo265,34,6,5
P,51,Mo265,67,6,10
P,51,Mo265,70,5,5
P,51,Mo265,75,8,7
